campaign_touch_id,activity_month,vehicle_segment,model_year_position,powertrain_focus,primary_channel,secondary_channel_syndicated_flag,shopper_intent_decile,market_region_tier,nameplate_lifecycle_stage,incentive_program_pressure_band,competitive_conquest_intensity_band,days_supply_inventory_proxy_band,auto_loan_rate_environment_band,personalization_depth_band,dealer_cosponsored_local_campaign_flag,days_since_last_brand_engagement,major_auto_show_or_event_window_flag,ev_adoption_maturity_region_band,ad_frequency_saturation_risk_band,certified_preowned_vs_new_intent_context,credit_availability_consumer_stress_band,multicultural_locale_creative_match_flag,qualified_marketing_milestone_achieved
AMK-00000096,2024-09,EV Crossover,Current Model Year,ICE,Email – CRM,No,2,US – Suburban / Secondary,Runout / End of Generation,Moderate APR / Cash,Moderate,Balanced,Adverse – Rising APR,1:1 Next-Best-Offer,No,44,No,Mature EV Penetration,Low Exposure,New Vehicle Focus,Benign,No,1
AMK-00000097,2022-07,Full-Size Pickup,Current Model Year,BEV,OEM Website / App,No,9,US – Major Metro,New Launch / Fresh Reveal,Moderate APR / Cash,Low,Balanced,Flat,Segmented,No,36,No,Mature EV Penetration,Low Exposure,CPO / Used Consideration,Tightening,No,0
AMK-00000098,2025-12,Full-Size Pickup,Current Model Year,ICE,Paid Search,No,7,US – Major Metro,Runout / End of Generation,Light Incentives,Moderate,Balanced,Adverse – Rising APR,Segmented,Yes,33,No,Growing,High Fatigue Risk,New Vehicle Focus,Benign,Yes,0
AMK-00000099,2025-09,Compact SUV / Crossover,Current Model Year,ICE,OEM Website / App,No,7,US – Suburban / Secondary,Steady State,Heavy Stair-Step Risk,Moderate,Tight – Under 30,Flat,Segmented,No,36,Yes,Growing,Low Exposure,CPO / Used Consideration,Tightening,No,0
AMK-00000100,2024-05,Compact SUV / Crossover,Current Model Year,BEV,Auto Show / Experiential,No,3,US – Suburban / Secondary,Runout / End of Generation,Moderate APR / Cash,Low,Tight – Under 30,Flat,1:1 Next-Best-Offer,Yes,35,No,Mature EV Penetration,Typical,New Vehicle Focus,Benign,No,0
AMK-00000101,2023-09,Compact SUV / Crossover,Current Model Year,ICE,Paid Search,Yes,5,US – Suburban / Secondary,Steady State,Light Incentives,Moderate,Balanced,Favourable vs Prior Quarter,Generic,No,39,No,Growing,Typical,New Vehicle Focus,Benign,No,0
AMK-00000102,2023-01,Midsize / 3-Row SUV,Prior Year Closeout,ICE,Auto Show / Experiential,Yes,3,US – Suburban / Secondary,Steady State,Heavy Stair-Step Risk,Low,High – Over 60,Flat,Segmented,No,44,No,Early Market,High Fatigue Risk,New Vehicle Focus,Constrained,No,0
AMK-00000103,2024-04,Midsize Sedan,Current Model Year,ICE,OEM Website / App,No,5,US – Suburban / Secondary,Steady State,Light Incentives,High – New Entrants,Balanced,Favourable vs Prior Quarter,1:1 Next-Best-Offer,Yes,41,No,Mature EV Penetration,Low Exposure,New Vehicle Focus,Benign,Yes,0
AMK-00000104,2023-04,Compact SUV / Crossover,Current Model Year,ICE,Programmatic Video / CTV,No,7,US – Rural / Exurban,Runout / End of Generation,Light Incentives,Low,Balanced,Flat,Segmented,Yes,40,No,Growing,Typical,CPO / Used Consideration,Benign,No,1
AMK-00000105,2024-11,Compact SUV / Crossover,Current Model Year,Hybrid,Dealer Co-op – Local Digital,No,5,US – Suburban / Secondary,Steady State,Moderate APR / Cash,Low,High – Over 60,Favourable vs Prior Quarter,Segmented,Yes,37,No,Early Market,High Fatigue Risk,Mixed / Undecided,Benign,No,0
AMK-00000106,2023-02,Performance / Specialty,Current Model Year,ICE,Paid Social,Yes,2,Canada,Runout / End of Generation,Moderate APR / Cash,Moderate,High – Over 60,Flat,Segmented,Yes,45,No,Mature EV Penetration,Low Exposure,New Vehicle Focus,Benign,Yes,0
AMK-00000107,2024-06,Performance / Specialty,Current Model Year,PHEV,OEM Website / App,No,1,US – Rural / Exurban,Steady State,Light Incentives,Moderate,High – Over 60,Adverse – Rising APR,Segmented,No,42,No,Early Market,Low Exposure,New Vehicle Focus,Benign,No,0
AMK-00000108,2025-11,Compact SUV / Crossover,Current Model Year,Hybrid,Programmatic Video / CTV,Yes,10,US – Suburban / Secondary,Steady State,Heavy Stair-Step Risk,Moderate,Balanced,Favourable vs Prior Quarter,Generic,Yes,27,No,Mature EV Penetration,Low Exposure,CPO / Used Consideration,Tightening,Yes,0
AMK-00000109,2023-04,Compact SUV / Crossover,Current Model Year,BEV,Paid Social,Yes,10,US – Major Metro,Mid-Cycle Refresh,Light Incentives,High – New Entrants,Balanced,Flat,1:1 Next-Best-Offer,Yes,35,No,Early Market,Typical,New Vehicle Focus,Benign,Yes,1
AMK-00000110,2024-02,EV Crossover,Current Model Year,Hybrid,Email – CRM,No,4,US – Major Metro,New Launch / Fresh Reveal,Moderate APR / Cash,Low,Tight – Under 30,Adverse – Rising APR,Segmented,Yes,36,No,Early Market,High Fatigue Risk,Mixed / Undecided,Benign,Yes,0
AMK-00000111,2024-03,EV Crossover,Current Model Year,Hybrid,OEM Website / App,No,2,US – Rural / Exurban,Steady State,Light Incentives,Moderate,Tight – Under 30,Flat,1:1 Next-Best-Offer,Yes,40,No,Mature EV Penetration,Typical,New Vehicle Focus,Benign,No,0
AMK-00000112,2024-11,Midsize Sedan,Current Model Year,Hybrid,Paid Social,No,3,US – Major Metro,New Launch / Fresh Reveal,Moderate APR / Cash,Low,Tight – Under 30,Flat,Generic,Yes,36,No,Mature EV Penetration,High Fatigue Risk,New Vehicle Focus,Benign,Yes,0
AMK-00000113,2025-10,Midsize Sedan,Current Model Year,ICE,Programmatic Video / CTV,Yes,10,Other Market,Steady State,Light Incentives,High – New Entrants,Balanced,Favourable vs Prior Quarter,1:1 Next-Best-Offer,Yes,44,No,Growing,Typical,New Vehicle Focus,Constrained,No,0
AMK-00000114,2025-07,Full-Size Pickup,Current Model Year,Hybrid,Paid Search,No,3,US – Suburban / Secondary,New Launch / Fresh Reveal,Light Incentives,Low,Balanced,Adverse – Rising APR,1:1 Next-Best-Offer,No,33,No,Early Market,Typical,Mixed / Undecided,Constrained,Yes,0
AMK-00000115,2024-06,Performance / Specialty,Current Model Year,BEV,Paid Social,No,3,US – Suburban / Secondary,Steady State,Light Incentives,High – New Entrants,Tight – Under 30,Flat,Generic,No,47,No,Growing,High Fatigue Risk,New Vehicle Focus,Tightening,No,0
AMK-00000116,2023-09,Compact SUV / Crossover,Current Model Year,Hybrid,Email – CRM,No,8,US – Major Metro,Mid-Cycle Refresh,Moderate APR / Cash,High – New Entrants,Balanced,Flat,1:1 Next-Best-Offer,Yes,38,No,Early Market,Typical,New Vehicle Focus,Constrained,No,1
AMK-00000117,2024-09,Compact SUV / Crossover,Current Model Year,BEV,Auto Show / Experiential,Yes,6,Canada,Steady State,Moderate APR / Cash,Low,Balanced,Adverse – Rising APR,1:1 Next-Best-Offer,Yes,39,No,Growing,Low Exposure,New Vehicle Focus,Benign,No,0
AMK-00000118,2022-04,Midsize / 3-Row SUV,Current Model Year,ICE,OEM Website / App,No,1,US – Major Metro,Steady State,Moderate APR / Cash,Low,Tight – Under 30,Flat,Generic,No,43,Yes,Mature EV Penetration,Typical,New Vehicle Focus,Benign,Yes,0
AMK-00000119,2025-09,Full-Size Pickup,Current Model Year,BEV,Programmatic Video / CTV,Yes,7,Canada,Runout / End of Generation,Light Incentives,Low,High – Over 60,Favourable vs Prior Quarter,Segmented,No,50,No,Mature EV Penetration,Low Exposure,CPO / Used Consideration,Tightening,No,0
AMK-00000120,2024-04,EV Crossover,Next MY Pre-Order,BEV,Paid Social,No,7,US – Suburban / Secondary,New Launch / Fresh Reveal,Light Incentives,Low,Tight – Under 30,Flat,Generic,Yes,48,No,Growing,Typical,New Vehicle Focus,Tightening,No,0
AMK-00000121,2024-06,Midsize / 3-Row SUV,Current Model Year,ICE,Paid Search,Yes,2,US – Suburban / Secondary,Mid-Cycle Refresh,Moderate APR / Cash,Moderate,Tight – Under 30,Flat,1:1 Next-Best-Offer,Yes,43,Yes,Mature EV Penetration,High Fatigue Risk,Mixed / Undecided,Tightening,No,0
AMK-00000122,2023-05,Midsize Sedan,Current Model Year,BEV,Paid Social,No,5,US – Suburban / Secondary,Mid-Cycle Refresh,Light Incentives,Low,Tight – Under 30,Adverse – Rising APR,1:1 Next-Best-Offer,Yes,46,No,Early Market,Low Exposure,New Vehicle Focus,Benign,No,0
AMK-00000123,2025-04,Midsize / 3-Row SUV,Current Model Year,Hybrid,Auto Show / Experiential,Yes,3,US – Suburban / Secondary,Runout / End of Generation,Moderate APR / Cash,Moderate,High – Over 60,Adverse – Rising APR,Segmented,No,41,No,Mature EV Penetration,Typical,CPO / Used Consideration,Benign,No,0
AMK-00000124,2024-04,Compact SUV / Crossover,Current Model Year,BEV,Paid Social,No,2,US – Suburban / Secondary,New Launch / Fresh Reveal,Moderate APR / Cash,Moderate,High – Over 60,Favourable vs Prior Quarter,1:1 Next-Best-Offer,No,33,No,Growing,Typical,New Vehicle Focus,Tightening,No,0
AMK-00000125,2022-08,Midsize Sedan,Current Model Year,ICE,Paid Search,No,7,US – Major Metro,Steady State,Light Incentives,Low,Balanced,Flat,Generic,No,42,No,Growing,Low Exposure,Mixed / Undecided,Benign,Yes,0
AMK-00000126,2023-01,Midsize / 3-Row SUV,Prior Year Closeout,ICE,Paid Social,Yes,4,US – Rural / Exurban,New Launch / Fresh Reveal,Moderate APR / Cash,High – New Entrants,Balanced,Favourable vs Prior Quarter,Segmented,No,34,Yes,Growing,Low Exposure,New Vehicle Focus,Benign,No,0
AMK-00000127,2023-12,Full-Size Pickup,Current Model Year,ICE,Dealer Co-op – Local Digital,No,7,Canada,Steady State,Heavy Stair-Step Risk,Low,Balanced,Flat,Generic,No,29,No,Early Market,High Fatigue Risk,New Vehicle Focus,Tightening,Yes,0
AMK-00000128,2023-07,Compact SUV / Crossover,Prior Year Closeout,Hybrid,Programmatic Video / CTV,Yes,9,US – Rural / Exurban,New Launch / Fresh Reveal,Moderate APR / Cash,Moderate,High – Over 60,Flat,Segmented,No,38,No,Growing,Typical,New Vehicle Focus,Benign,No,1
AMK-00000129,2023-12,Midsize Sedan,Next MY Pre-Order,ICE,Paid Social,Yes,7,US – Major Metro,Steady State,Light Incentives,Moderate,Balanced,Adverse – Rising APR,Segmented,No,27,No,Early Market,Low Exposure,New Vehicle Focus,Benign,No,0
AMK-00000130,2023-03,Full-Size Pickup,Current Model Year,Hybrid,Paid Social,No,7,US – Suburban / Secondary,Steady State,Light Incentives,Moderate,Tight – Under 30,Flat,Segmented,Yes,42,No,Growing,Typical,Mixed / Undecided,Benign,Yes,0
AMK-00000131,2023-10,Compact SUV / Crossover,Next MY Pre-Order,BEV,Email – CRM,No,10,US – Suburban / Secondary,New Launch / Fresh Reveal,Moderate APR / Cash,Low,High – Over 60,Adverse – Rising APR,Segmented,No,37,No,Growing,Low Exposure,New Vehicle Focus,Benign,Yes,0
AMK-00000132,2023-07,Compact SUV / Crossover,Current Model Year,BEV,Paid Search,Yes,9,US – Major Metro,Mid-Cycle Refresh,Moderate APR / Cash,Moderate,Balanced,Adverse – Rising APR,Segmented,No,36,Yes,Growing,Typical,CPO / Used Consideration,Benign,No,1
AMK-00000133,2023-08,Midsize / 3-Row SUV,Current Model Year,ICE,Auto Show / Experiential,Yes,8,US – Major Metro,Steady State,Moderate APR / Cash,Low,Tight – Under 30,Adverse – Rising APR,Segmented,No,24,No,Mature EV Penetration,High Fatigue Risk,New Vehicle Focus,Benign,Yes,0
AMK-00000134,2024-06,Full-Size Pickup,Current Model Year,ICE,Email – CRM,No,3,US – Suburban / Secondary,Steady State,Light Incentives,Low,Tight – Under 30,Favourable vs Prior Quarter,Generic,No,35,No,Growing,Typical,New Vehicle Focus,Tightening,No,0
AMK-00000135,2024-06,Midsize Sedan,Current Model Year,ICE,Paid Social,No,1,US – Major Metro,Steady State,Moderate APR / Cash,Low,Tight – Under 30,Adverse – Rising APR,Segmented,Yes,41,Yes,Mature EV Penetration,Typical,New Vehicle Focus,Benign,No,0
AMK-00000136,2025-04,EV Crossover,Next MY Pre-Order,ICE,Paid Social,Yes,5,US – Suburban / Secondary,Steady State,Light Incentives,Low,High – Over 60,Flat,Generic,No,34,No,Early Market,Typical,New Vehicle Focus,Tightening,No,0
AMK-00000137,2022-04,EV Crossover,Current Model Year,Hybrid,Paid Search,No,9,US – Rural / Exurban,Steady State,Heavy Stair-Step Risk,High – New Entrants,High – Over 60,Favourable vs Prior Quarter,Generic,No,46,No,Early Market,High Fatigue Risk,CPO / Used Consideration,Benign,No,1
AMK-00000138,2023-06,EV Crossover,Current Model Year,BEV,Dealer Co-op – Local Digital,No,4,US – Major Metro,Steady State,Light Incentives,Low,High – Over 60,Adverse – Rising APR,1:1 Next-Best-Offer,No,37,No,Mature EV Penetration,High Fatigue Risk,New Vehicle Focus,Tightening,No,0
AMK-00000139,2023-05,Compact SUV / Crossover,Current Model Year,ICE,Paid Search,Yes,1,Canada,Steady State,Light Incentives,Low,Balanced,Flat,Segmented,Yes,33,No,Growing,Typical,New Vehicle Focus,Tightening,No,1
AMK-00000140,2023-02,Midsize / 3-Row SUV,Current Model Year,Hybrid,Paid Social,Yes,4,US – Suburban / Secondary,Mid-Cycle Refresh,Moderate APR / Cash,Moderate,Tight – Under 30,Flat,Segmented,Yes,41,No,Growing,Typical,CPO / Used Consideration,Constrained,No,0
AMK-00000141,2023-02,Full-Size Pickup,Current Model Year,ICE,Paid Search,No,1,US – Major Metro,Mid-Cycle Refresh,Light Incentives,Low,High – Over 60,Flat,1:1 Next-Best-Offer,No,37,Yes,Growing,Low Exposure,CPO / Used Consideration,Benign,No,0
AMK-00000142,2023-02,Compact SUV / Crossover,Current Model Year,ICE,Paid Social,Yes,1,US – Major Metro,Steady State,Moderate APR / Cash,Low,Balanced,Adverse – Rising APR,Segmented,No,51,No,Growing,Low Exposure,Mixed / Undecided,Benign,Yes,0
AMK-00000143,2025-07,Performance / Specialty,Current Model Year,ICE,OEM Website / App,Yes,3,US – Major Metro,Steady State,Heavy Stair-Step Risk,High – New Entrants,Balanced,Flat,Generic,No,31,No,Mature EV Penetration,Low Exposure,New Vehicle Focus,Constrained,No,0
AMK-00000144,2023-07,Compact SUV / Crossover,Current Model Year,PHEV,OEM Website / App,No,5,US – Major Metro,Mid-Cycle Refresh,Light Incentives,High – New Entrants,Tight – Under 30,Favourable vs Prior Quarter,Segmented,Yes,31,No,Growing,Typical,Mixed / Undecided,Tightening,Yes,0
AMK-00000145,2024-05,Full-Size Pickup,Current Model Year,Hybrid,Programmatic Video / CTV,No,8,US – Rural / Exurban,Steady State,Moderate APR / Cash,High – New Entrants,Tight – Under 30,Adverse – Rising APR,Generic,No,45,No,Mature EV Penetration,Typical,New Vehicle Focus,Tightening,Yes,0
AMK-00000146,2024-01,EV Crossover,Current Model Year,PHEV,Programmatic Video / CTV,Yes,2,US – Rural / Exurban,Steady State,Light Incentives,Moderate,Balanced,Favourable vs Prior Quarter,Generic,No,41,No,Early Market,Typical,New Vehicle Focus,Benign,No,0
AMK-00000147,2024-10,Compact SUV / Crossover,Current Model Year,Hybrid,Paid Social,No,4,US – Major Metro,Steady State,Heavy Stair-Step Risk,Moderate,Balanced,Adverse – Rising APR,Generic,Yes,39,No,Mature EV Penetration,Low Exposure,New Vehicle Focus,Constrained,Yes,0
AMK-00000148,2022-02,Midsize / 3-Row SUV,Current Model Year,ICE,Dealer Co-op – Local Digital,No,5,US – Suburban / Secondary,New Launch / Fresh Reveal,Moderate APR / Cash,Low,Balanced,Favourable vs Prior Quarter,1:1 Next-Best-Offer,Yes,42,No,Mature EV Penetration,Typical,CPO / Used Consideration,Constrained,No,0
AMK-00000149,2023-07,Compact SUV / Crossover,Current Model Year,ICE,Paid Search,No,2,US – Rural / Exurban,Steady State,Moderate APR / Cash,High – New Entrants,High – Over 60,Favourable vs Prior Quarter,1:1 Next-Best-Offer,Yes,36,No,Growing,Low Exposure,CPO / Used Consideration,Tightening,Yes,0
AMK-00000150,2025-07,Midsize / 3-Row SUV,Prior Year Closeout,BEV,Programmatic Video / CTV,No,4,US – Rural / Exurban,Steady State,Light Incentives,High – New Entrants,Balanced,Flat,1:1 Next-Best-Offer,No,38,No,Growing,High Fatigue Risk,New Vehicle Focus,Tightening,No,0
AMK-00000151,2024-09,Compact SUV / Crossover,Current Model Year,PHEV,Dealer Co-op – Local Digital,No,7,US – Major Metro,Runout / End of Generation,Moderate APR / Cash,Moderate,Balanced,Flat,1:1 Next-Best-Offer,Yes,49,No,Growing,Low Exposure,New Vehicle Focus,Constrained,No,0
AMK-00000152,2024-09,Midsize Sedan,Current Model Year,ICE,Auto Show / Experiential,No,9,US – Major Metro,Mid-Cycle Refresh,Heavy Stair-Step Risk,Low,Tight – Under 30,Flat,Segmented,Yes,32,No,Mature EV Penetration,Low Exposure,New Vehicle Focus,Constrained,No,0
AMK-00000153,2023-03,Midsize / 3-Row SUV,Current Model Year,ICE,Email – CRM,No,1,US – Rural / Exurban,Steady State,Moderate APR / Cash,Moderate,Tight – Under 30,Favourable vs Prior Quarter,1:1 Next-Best-Offer,No,35,No,Mature EV Penetration,Low Exposure,New Vehicle Focus,Benign,Yes,1
AMK-00000154,2022-12,Compact SUV / Crossover,Current Model Year,ICE,Paid Social,Yes,9,US – Rural / Exurban,Runout / End of Generation,Moderate APR / Cash,Moderate,Balanced,Adverse – Rising APR,Generic,Yes,46,No,Early Market,High Fatigue Risk,CPO / Used Consideration,Tightening,Yes,0
AMK-00000155,2022-10,Midsize / 3-Row SUV,Prior Year Closeout,ICE,Programmatic Video / CTV,No,9,Other Market,Mid-Cycle Refresh,Moderate APR / Cash,Low,Balanced,Flat,Generic,No,42,No,Mature EV Penetration,Typical,Mixed / Undecided,Tightening,Yes,1
AMK-00000156,2022-10,Compact SUV / Crossover,Current Model Year,ICE,Dealer Co-op – Local Digital,Yes,6,US – Major Metro,Steady State,Light Incentives,Moderate,Balanced,Flat,Generic,Yes,41,No,Growing,Typical,New Vehicle Focus,Tightening,No,0
AMK-00000157,2023-08,Performance / Specialty,Next MY Pre-Order,PHEV,Dealer Co-op – Local Digital,No,9,US – Rural / Exurban,New Launch / Fresh Reveal,Moderate APR / Cash,High – New Entrants,Tight – Under 30,Adverse – Rising APR,Segmented,No,31,No,Early Market,Typical,New Vehicle Focus,Tightening,No,0
AMK-00000158,2025-02,Midsize Sedan,Current Model Year,ICE,Paid Search,No,10,US – Major Metro,Steady State,Light Incentives,Low,Balanced,Flat,1:1 Next-Best-Offer,Yes,38,Yes,Mature EV Penetration,High Fatigue Risk,Mixed / Undecided,Benign,Yes,0
AMK-00000159,2025-05,EV Crossover,Current Model Year,ICE,Paid Search,No,5,US – Rural / Exurban,Steady State,Moderate APR / Cash,Moderate,Balanced,Adverse – Rising APR,Generic,No,42,No,Early Market,Low Exposure,New Vehicle Focus,Benign,No,0
AMK-00000160,2024-10,Midsize / 3-Row SUV,Current Model Year,BEV,Programmatic Video / CTV,No,8,US – Suburban / Secondary,Steady State,Light Incentives,Moderate,Tight – Under 30,Favourable vs Prior Quarter,1:1 Next-Best-Offer,No,39,No,Mature EV Penetration,Low Exposure,New Vehicle Focus,Benign,No,1
AMK-00000161,2024-05,Compact SUV / Crossover,Current Model Year,BEV,Paid Search,Yes,10,Canada,Steady State,Moderate APR / Cash,High – New Entrants,Balanced,Favourable vs Prior Quarter,Segmented,No,45,Yes,Growing,Typical,New Vehicle Focus,Constrained,Yes,0
AMK-00000162,2022-01,Compact SUV / Crossover,Current Model Year,ICE,Paid Social,No,7,US – Major Metro,Steady State,Moderate APR / Cash,Low,High – Over 60,Flat,Segmented,No,36,No,Early Market,Low Exposure,CPO / Used Consideration,Benign,No,0
AMK-00000163,2024-04,Compact SUV / Crossover,Prior Year Closeout,PHEV,Paid Social,No,9,US – Major Metro,New Launch / Fresh Reveal,Moderate APR / Cash,Low,Balanced,Favourable vs Prior Quarter,Segmented,Yes,47,No,Mature EV Penetration,Low Exposure,CPO / Used Consideration,Tightening,Yes,1
AMK-00000164,2024-11,Midsize Sedan,Current Model Year,ICE,Programmatic Video / CTV,No,4,US – Major Metro,Steady State,Light Incentives,Moderate,Balanced,Favourable vs Prior Quarter,Generic,No,49,No,Mature EV Penetration,Low Exposure,New Vehicle Focus,Benign,No,0
AMK-00000165,2025-07,Full-Size Pickup,Current Model Year,ICE,Email – CRM,No,1,Canada,Mid-Cycle Refresh,Light Incentives,Low,Balanced,Adverse – Rising APR,Segmented,No,32,Yes,Early Market,Low Exposure,New Vehicle Focus,Benign,No,0
AMK-00000166,2023-12,Compact SUV / Crossover,Current Model Year,ICE,Programmatic Video / CTV,No,6,US – Major Metro,Steady State,Heavy Stair-Step Risk,Low,Balanced,Adverse – Rising APR,Segmented,No,37,No,Growing,Low Exposure,New Vehicle Focus,Benign,Yes,0
AMK-00000167,2024-03,EV Crossover,Current Model Year,ICE,Dealer Co-op – Local Digital,No,4,US – Suburban / Secondary,Steady State,Heavy Stair-Step Risk,Low,Tight – Under 30,Flat,1:1 Next-Best-Offer,Yes,33,No,Early Market,High Fatigue Risk,New Vehicle Focus,Benign,No,0
